i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
1168,55,m,Realschule,ziemlich stark,ziemlich zufrieden,groß,-3,-1,both left,2,-3,-1,2,-8,Party A,no,3025,-2,-2,-2,-2,new,,both left,Party B,-2,-2,0,0,-2,-2,0,0,Party A,yes,no,-3,-3,-3,-3,both left,Party A,-3,-3,0,0,0,Party A,yes,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=internal conflict,Party A,no,no,groß,2,4,ziemlich sicher,0,ziemlich sicher,0,ziemlich sicher,-3,ziemlich sicher,0,ziemlich sicher,sicher,-3,ziemlich sicher,-2,ziemlich sicher,stark,Sicherheit,avers,0,ziemlich sicher,,,Grüne,yes,no,no,no,no
1169,23,f,Abitur,mittelmäßig,ziemlich zufrieden,gering,1,4,left/right,2,0,-3,-3,9,Party A,yes,529,1,4,1,4,same,no,left/right,Party B,0,-3,-3,9,0,-3,-3,9,Party A,yes,no,0,0,0,0,both left,Party A,-1,-1,0,0,0,Party B,no,-1,3,3,-1,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,-2,1,1,5,,Party B,-3,0,3,-9,-3,0,3,-9,0,-4,B=non-position,Party A,no,no,gering,0,4,sehr sicher,-2,ziemlich sicher,-1,weder/noch,0,ziemlich sicher,1,ziemlich sicher,sicher,-4,sehr sicher,0,ziemlich unsicher,mittel,Sicherheit,avers,0,weder/noch,no,no,Grüne,no,no,yes,no,no
1170,28,f,Abitur,mittelmäßig,teils/ teils,groß,1,2,both right,2,-4,-5,-1,9,Party A,yes,784,-3,-2,-2,-3,new,,left/right,Party A,0,-1,-1,1,-1,0,1,-1,Party A,yes,yes,-3,-3,-3,-3,all tied,Party A,0,0,0,0,0,Party B,no,,,,,,,,,0,0,0,,,-2,1,,,,,both right,none,-1,-4,-3,15,-1,-4,-3,15,,,B=precise,Party A,yes,no,groß,0,4,weder/noch,1,weder/noch,1,weder/noch,-2,weder/noch,-3,ziemlich sicher,sicher,-3,weder/noch,0,weder/noch,mittel,Sicherheit,avers,0,weder/noch,,,Grüne,no,no,no,yes,no
1171,34,m,Realschule,weniger stark,ziemlich zufrieden,sehr groß,-4,0,left/right,2,-3,-1,2,-8,Party B,yes,1156,-4,-1,-4,-1,new,,left/right,Party B,-3,0,3,-9,-3,0,3,-9,Party B,yes,yes,3,3,3,3,both right,Party A,-4,-4,0,0,0,Party B,no,-3,1,1,-3,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,-2,1,0,5,,Party B,-1,-2,-1,3,-1,-2,-1,3,-1,-6,B=internal conflict,Party A,yes,no,groß,1,5,sehr sicher,-1,ziemlich sicher,-3,ziemlich sicher,-2,ziemlich sicher,-1,ziemlich sicher,sicher,-4,sehr sicher,-2,weder/noch,gering,unbedingte Sicherheit,avers,-2,weder/noch,,,CDU/CSU,no,no,no,yes,no
1173,49,m,Hochschulstudium,sehr stark,ziemlich zufrieden,gering,-1,3,left/right,2,-2,-2,0,0,Party A,yes,2401,-1,3,3,-1,same,no,left/right,Party A,-2,-2,0,0,-2,-2,0,0,Party A,yes,yes,-2,-2,-2,-2,both left,Party B,-3,-3,0,0,0,Party B,yes,-1,3,-1,3,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,,,left/right,Party B,-3,0,3,-9,-3,0,3,-9,,,B=risky,Party B,yes,yes,gering,3,3,sehr sicher,1,sehr sicher,0,sehr sicher,-2,sehr sicher,1,sehr sicher,sicher,-5,sehr sicher,-1,sehr sicher,stark,manchmal Risiken,affin,-1,sehr sicher,no,no,,no,no,no,yes,yes
1174,23,f,Abitur,sehr stark,sehr unzufrieden,gering,-4,-2,both right,2,-1,-3,-2,8,Party A,yes,529,-4,-2,-2,-4,same,no,both right,Party A,-1,-3,-2,8,-3,-1,2,-8,Party A,yes,yes,4,4,4,4,both right,Party A,-9,-9,0,0,0,Party A,yes,,,,,,,,,0,0,0,,,-2,1,-2,1,0,5,,Party B,-3,-6,-3,27,-3,-6,-3,27,-5,-10,B=non-position,Party A,yes,no,gering,1,3,ziemlich sicher,1,sehr sicher,4,sehr sicher,0,ziemlich sicher,-5,sehr sicher,sicher,-3,ziemlich sicher,-1,ziemlich sicher,stark,Sicherheit,avers,0,ziemlich sicher,no,no,Linke,no,no,no,yes,no
1175,48,m,Hochschulstudium,sehr stark,ziemlich zufrieden,groß,-4,3,both right,2,-1,-8,-7,63,Party A,yes,2304,1,2,1,2,new,,both right,Party B,-6,-7,-1,13,-6,-7,-1,13,Party B,no,yes,1,1,1,1,both right,Party B,-6,-6,0,0,0,Party B,yes,,,,,,,,,0,0,0,,,-2,1,,,,,both right,none,-3,-6,-3,27,-3,-6,-3,27,,,B=precise,Party A,yes,no,groß,2,5,sehr sicher,-1,ziemlich sicher,1,ziemlich sicher,-3,ziemlich sicher,-5,sehr sicher,sicher,-5,sehr sicher,-3,ziemlich sicher,stark,manchmal Risiken,affin,-1,ziemlich sicher,,,SPD,no,no,no,no,no
1176,57,f,Realschule,weniger stark,sehr zufrieden,gering,-2,0,left/right,2,-2,0,2,-4,Party A,no,3249,-2,0,-2,0,same,yes,left/right,Party B,-2,0,2,-4,-2,0,2,-4,Party B,yes,yes,-3,-3,-3,-3,both left,Party B,-3,-3,0,0,0,Party B,yes,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=internal conflict,Party A,no,no,gering,2,5,ziemlich sicher,0,ziemlich sicher,-1,ziemlich sicher,0,ziemlich sicher,0,ziemlich sicher,sicher,-2,ziemlich sicher,-1,ziemlich sicher,gering,keine Vorlieben,neutral,0,ziemlich sicher,no,yes,Grüne,no,no,no,no,no
1177,41,f,Abitur,mittelmäßig,ziemlich zufrieden,groß,-1,1,both left,2,-3,-1,2,-8,Party B,yes,1681,-1,1,1,-1,same,no,both left,Party A,-3,-1,2,-8,-1,-3,-2,8,Party B,yes,no,-2,-2,-2,-2,both left,Party A,-4,-4,0,0,0,Party A,yes,0,4,4,0,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,-2,1,,,both left,Party B,-4,-1,3,-15,-4,-1,3,-15,,,B=risky,Party A,no,no,groß,2,-5,sehr sicher,3,sehr sicher,1,ziemlich sicher,0,ziemlich sicher,2,sehr sicher,sicher,-2,weder/noch,-1,weder/noch,mittel,manchmal Risiken,affin,3,ziemlich sicher,no,no,CDU/CSU,no,no,no,no,no
1179,52,f,Abitur,mittelmäßig,ziemlich zufrieden,gering,2,2,both right,2,-4,-4,0,0,Party A,yes,2704,-1,3,-1,3,new,,both right,Party B,-1,-5,-4,24,-1,-5,-4,24,Party A,yes,no,-4,-4,-4,-4,both left,Party B,-2,-2,0,0,0,Party B,yes,-4,0,-4,0,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,0,-3,-3,9,0,-3,-3,9,-2,-7,B=non-position,Party A,yes,no,gering,2,5,sehr sicher,0,ziemlich sicher,0,ziemlich sicher,-3,ziemlich sicher,-2,ziemlich sicher,sicher,-3,ziemlich sicher,-2,ziemlich sicher,mittel,Sicherheit,avers,-1,ziemlich sicher,,,Linke,no,no,no,yes,no
