i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
1277,70,0,1,1,3,2,-4,4,3,2,-4,-4,0,0,0,1,4900,-4,4,4,-4,1,0,3,0,-4,-4,0,0,-4,-4,0,0,0,1,1,-3,-3,-3,-3,1,0,-3,-3,0,0,0,0,1,-2,2,-2,2,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,,,3,1,-2,-1,1,-3,-2,-1,1,-3,,,2,0,0,0,1,3,3,2,0,2,0,2,0,2,0,2,1,-3,2,0,2,0,2,1,0,2,0,0,,1,0,0,0,0
1278,58,1,3,3,2,2,-2,1,1,2,-5,-2,3,-21,1,1,3364,-4,3,3,-4,2,,3,0,-7,0,7,-49,0,-7,-7,49,1,1,0,1,1,1,1,1,1,-2,-2,0,0,0,1,1,,,,,,,,,0,0,0,,,-2,1,,,,,1,2,-5,-2,3,-21,-5,-2,3,-21,,,1,1,1,0,1,1,5,0,3,1,2,1,-4,0,3,2,1,-5,0,0,1,2,1,0,0,0,,,1,0,0,0,1,0
1280,36,1,2,4,0,0,-1,4,3,2,-1,-4,-3,15,1,0,1296,-1,4,-1,4,1,1,3,1,-1,-4,-3,15,-1,-4,-3,15,0,1,0,-3,-3,-3,-3,1,0,-3,-3,0,0,0,0,1,-2,2,2,-2,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,4,1,1,1,0,2,5,0,-5,0,0,0,-5,0,0,0,0,-5,0,-5,0,2,2,1,-5,0,1,0,6,0,0,0,0,0
1281,67,1,2,2,2,1,-2,0,3,2,-1,-1,0,0,0,1,4489,3,4,3,4,2,,2,1,-4,-5,-1,9,-4,-5,-1,9,0,1,0,4,4,4,4,2,0,-5,-5,0,0,0,0,1,-3,1,-3,1,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,,,3,1,-1,-2,-1,3,-1,-2,-1,3,,,2,0,1,0,0,2,5,1,-1,2,-1,2,0,2,-1,1,0,-1,2,-1,2,1,3,2,-1,2,,,,1,0,0,1,0
1282,34,1,2,2,3,1,1,2,2,2,-1,-2,-1,3,1,0,1156,1,2,2,1,1,1,2,0,-1,-2,-1,3,-2,-1,1,-3,0,1,1,3,3,3,3,2,1,-3,-3,0,0,0,0,0,-2,2,-2,2,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,3,1,1,1,0,1,5,0,0,0,0,1,0,4,0,0,0,-5,0,0,2,1,4,2,0,0,0,1,1,0,0,0,0,0
1283,44,1,2,1,1,1,-4,1,3,2,-4,-1,3,-15,0,0,1936,-2,0,-2,0,2,,3,1,-2,0,2,-4,-2,0,2,-4,1,1,1,1,1,1,1,2,1,-1,-1,0,0,0,0,0,-2,2,2,-2,3,1,-2,-2,0,0,0,0,0,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,4,0,0,0,0,0,0,3,2,2,0,2,1,2,0,2,1,1,2,-2,2,0,1,0,-1,2,,,5,0,0,0,0,0
1285,33,1,2,2,2,2,-1,0,3,2,-1,0,1,-1,1,1,1089,-1,0,0,-1,1,1,3,0,-1,0,1,-1,0,-1,-1,1,0,0,1,-2,-2,-2,-2,1,0,-2,-2,0,0,0,1,0,-2,2,2,-2,3,1,-2,-2,0,0,0,1,1,-2,1,,,,,3,2,-2,-1,1,-3,-2,-1,1,-3,,,1,1,1,0,1,2,-1,1,0,2,0,1,0,1,0,1,0,-1,1,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0
1286,33,1,4,3,3,1,-3,3,3,2,-4,-2,2,-12,0,0,1089,-3,3,3,-3,1,0,3,0,-4,-2,2,-12,-2,-4,-2,12,0,0,1,-1,-1,-1,-1,1,1,-2,-2,0,0,0,1,1,-1,3,-1,3,3,0,-2,-2,0,0,0,0,1,-2,1,,,,,3,2,-3,0,3,-9,-3,0,3,-9,,,1,1,1,0,0,3,5,1,2,2,2,2,-2,2,1,2,1,-5,1,-3,2,2,3,2,0,2,0,0,1,0,0,0,0,0
1288,36,0,2,2,2,2,-4,3,3,2,-3,-4,-1,7,1,0,1296,-3,1,-3,1,2,,3,1,-2,-2,0,0,-2,-2,0,0,0,1,0,2,2,2,2,2,0,-3,-3,0,0,0,1,0,-3,1,1,-3,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,0,5,,1,-1,-2,-1,3,-1,-2,-1,3,-1,-6,3,0,1,0,1,1,0,2,1,2,-1,3,-1,1,-1,1,0,-2,0,1,2,1,2,1,-1,2,,,5,0,0,0,0,0
1289,33,1,4,3,3,1,-2,4,3,2,-1,-5,-4,24,0,1,1089,-4,-1,-4,-1,2,,3,1,-3,0,3,-9,-3,0,3,-9,1,1,1,-4,-4,-4,-4,1,1,-3,-3,0,0,0,1,1,-3,1,-3,1,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,,,3,1,-1,-2,-1,3,-1,-2,-1,3,,,2,1,0,1,0,2,4,0,1,3,2,0,-4,0,-1,2,1,-4,0,-3,0,2,3,2,-3,2,,,1,0,0,0,0,0
