i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
143,6,69,4761,1,0,0,0,FDP,0,0,1,2,-.28876334,1.2912743,3,4,2,1,2,-1,-.28876334,2,0
148,1,35,1225,1,0,3,1,CDU/CSU,0,0,0,2,-.017576899,1.1010672,4,0,2,0,1,0,-.017576899,4,0
148,2,35,1225,1,0,3,1,SPD,0,0,0,2,-1.3013183,1.1161331,4,0,2,0,1,0,-1.3013183,4,0
148,3,35,1225,1,0,3,1,Grüne,0,0,0,2,-1.7564344,1.165725,4,0,2,0,1,0,-1.7564344,4,0
148,4,35,1225,1,0,3,1,AfD,0,0,0,0,3.1958568,.6836158,4,0,2,0,1,0,-3.1958568,4,1
148,5,35,1225,1,0,3,1,Linke,0,0,1,1,-3.566855,.7859385,4,0,2,0,1,-1,-3.566855,4,0
148,6,35,1225,1,0,3,1,FDP,0,0,5,0,-.28876334,1.2912743,4,0,2,0,1,-5,-.28876334,4,0
152,1,57,3249,1,0,2,1,CDU/CSU,-5,0,2,0,-.017576899,1.1010672,3,1,2,0,1,-7,-4.9824233,3,0
152,2,57,3249,1,0,2,1,SPD,-5,0,-2,0,-1.3013183,1.1161331,3,1,2,0,1,-3,-3.6986818,3,0
152,3,57,3249,1,0,2,1,Grüne,-5,0,-2,0,-1.7564344,1.165725,3,1,2,0,1,-3,-3.2435656,3,1
152,4,57,3249,1,0,2,1,AfD,-5,0,5,0,3.1958568,.6836158,3,1,2,0,1,-10,-8.195857,3,0
152,5,57,3249,1,0,2,1,Linke,-5,0,-5,0,-3.566855,.7859385,3,1,2,0,1,0,-1.433145,3,0
152,6,57,3249,1,0,2,1,FDP,-5,0,1,0,-.28876334,1.2912743,3,1,2,0,1,-6,-4.7112365,3,0
153,1,41,1681,4,1,2,1,CDU/CSU,0,1,1,1,-.017576899,1.1010672,2,3,3,1,1,-1,-.017576899,1,1
