exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
1,,,3,208,2,0,1,1,0,0,1,0,,-1,-5,-4,24,,,,,,,-2,4,,-1,1,0,,,,63,1,1,2,1,0,1,3,2,2,-2,1,,,
1,,,3,209,2,0,1,1,0,0,0,0,,-2,-2,0,0,,,,,,,0,4,,2,1,0,,,,49,2,0,1,0,3,2,2,1,3,-4,1,0,0,0
1,,,3,210,2,0,0,0,0,0,0,0,,-2,-1,1,-3,,,,,,,-2,1,,0,2,1,,,,34,1,1,1,0,3,3,4,2,2,0,2,,,
1,,,1,211,2,1,1,0,0,0,0,0,,-4,-3,1,-7,,,,,,,-4,-3,,0,0,0,,,,31,3,0,1,0,2,2,1,0,2,-2,0,0,0,0
1,,,3,212,2,0,0,0,0,0,0,0,,-2,-1,1,-3,,,,,,,0,3,,2,1,0,,,,65,2,0,2,1,0,3,1,0,2,-2,1,0,0,0
1,,,2,213,2,0,1,0,0,0,1,0,,-2,-3,-1,5,,,,,,,-1,0,,-3,1,0,,,,53,2,0,2,1,1,3,2,1,3,1,1,0,0,0
1,,,2,214,2,0,1,0,0,0,1,0,,-4,-5,-1,9,,,,,,,2,3,,-2,1,0,,,,39,4,0,2,1,0,3,2,1,3,0,2,,,
1,,,3,215,2,0,1,0,0,0,0,0,,0,-2,-2,4,,,,,,,-1,1,,-1,1,0,,,,50,2,0,2,1,1,1,2,1,3,-1,1,,,
1,,,1,216,2,0,0,0,0,0,0,0,,-7,-1,6,-48,,,,,,,-4,2,,3,1,0,,,,47,1,0,1,0,0,1,3,2,1,-4,1,1,0,1
1,,,2,217,2,0,1,0,0,1,1,0,,-1,-5,-4,24,,,,,,,0,4,,-1,2,1,,,,50,3,1,2,1,0,2,3,2,2,0,3,0,0,0
1,,,3,218,2,0,1,0,0,0,0,0,,-3,-4,-1,7,,,,,,,-3,4,,0,1,0,,,,46,3,1,2,1,1,2,3,2,3,0,1,,,
1,,,2,220,2,1,0,0,1,0,0,0,,-1,-4,-3,15,,,,,,,0,3,,-1,2,1,,,,41,4,1,2,1,3,2,4,2,2,-1,2,,,
1,,,2,221,2,0,1,0,0,0,1,0,,-3,-7,-4,40,,,,,,,0,4,,-3,1,0,,,,49,2,0,1,0,1,3,3,2,1,0,1,,,
1,,,1,223,2,0,1,0,0,0,1,0,,-1,-1,0,0,,,,,,,-2,-2,,-1,0,0,,,,55,1,1,1,0,2,1,3,2,2,-3,1,0,0,0
1,,,2,224,2,0,1,0,0,0,1,0,,-2,-6,-4,32,,,,,,,-3,1,,-5,1,0,,,,32,3,1,2,1,1,3,3,2,2,1,2,,,
1,,,3,225,2,1,1,0,0,0,0,0,,-3,-3,0,0,,,,,,,-3,3,,0,0,0,,,,58,1,0,2,1,1,4,2,1,3,0,3,1,1,0
1,,,3,226,2,1,1,0,1,0,1,0,,-1,-1,0,0,,,,,,,-1,1,,0,0,0,,,,63,1,0,0,0,1,3,3,2,0,-5,0,,,
1,,,3,227,2,1,0,0,0,0,0,0,,-1,-2,-1,3,,,,,,,-4,-1,,-3,2,1,,,,25,4,1,3,1,1,3,1,0,3,0,1,0,0,0
1,,,3,228,2,0,1,0,0,0,1,0,,-2,-5,-3,21,,,,,,,-4,3,,-2,0,0,,,,61,2,1,2,1,1,4,2,1,4,-1,0,,,
1,,,3,229,2,0,1,0,0,0,1,0,,-3,-3,0,0,,,,,,,-4,2,,-1,3,1,,,,49,2,1,2,1,2,2,2,1,2,-1,2,,,
1,,,2,231,2,0,1,0,0,0,1,0,,-4,-4,0,0,,,,,,,2,2,,-2,1,0,,,,65,1,0,2,1,1,3,1,0,3,0,1,0,0,0
1,,,3,232,2,1,0,0,0,0,0,0,,-2,-4,-2,12,,,,,,,-2,4,,0,2,1,,,,50,0,0,1,0,1,1,2,1,1,0,2,1,0,1
1,,,1,233,2,0,1,1,0,1,1,0,,-2,-2,0,0,,,,,,,-3,-3,,-1,1,0,,,,44,3,0,3,1,0,4,1,0,3,0,1,,,
1,,,2,234,2,1,0,0,0,0,0,0,,-1,-5,-4,24,,,,,,,0,4,,-1,1,0,,,,63,2,1,3,1,1,2,3,2,0,-2,2,1,0,1
1,,,2,235,2,0,1,1,0,0,1,0,,-1,-3,-2,8,,,,,,,-1,1,,-2,1,0,,,,47,4,0,2,1,1,2,3,2,3,1,1,0,0,0
1,,,3,236,2,1,1,0,0,0,1,0,,-1,-1,0,0,,,,,,,-4,-2,,-3,1,0,,,,65,4,0,1,0,1,4,3,2,2,0,2,0,0,0
1,,,2,237,2,0,1,0,0,0,1,0,,-2,-3,-1,5,,,,,,,2,3,,0,0,0,,,,46,4,0,1,0,0,2,3,2,2,-2,1,,,
1,,,3,238,2,1,1,0,1,0,1,0,,-4,0,4,-16,,,,,,,-4,0,,0,0,0,,,,21,0,0,2,1,2,2,0,0,1,-3,0,0,0,0
1,,,3,240,2,1,1,0,0,0,1,0,,-2,0,2,-4,,,,,,,-1,1,,1,1,0,,,,40,3,1,1,0,2,0,3,2,2,-2,2,0,0,0
1,,,3,241,2,0,0,0,0,0,0,0,,-3,0,3,-9,,,,,,,-3,0,,0,1,0,,,,51,2,0,2,1,1,3,1,0,3,-1,1,,,
1,,,3,242,2,0,1,0,0,0,0,0,,0,-6,-6,36,,,,,,,-3,3,,-3,0,0,,,,41,2,0,2,1,2,2,2,1,3,-1,2,,,
1,,,1,243,2,0,0,0,0,0,0,0,,-9,-6,3,-45,,,,,,,-4,-1,,5,0,0,,,,62,1,0,1,0,1,3,1,0,2,0,1,,,
