exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc,amb
5,3,,,1879,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,0,0,1,0,5,64,1,0,1,0,1,3,3,2,2,2,0,0,0,0,1
5,3,,,1884,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,65,1,0,2,1,0,2,4,2,3,0,1,,,,1
5,3,,,1891,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,2,1,1,0,5,55,1,1,1,0,2,0,4,2,2,0,2,0,0,0,1
5,3,,,1896,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,66,2,0,2,1,1,2,3,2,2,-3,1,0,0,0,1
5,3,,,1897,1,0,1,0,0,0,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,1,0,1,0,5,56,3,1,2,1,1,3,1,0,3,1,1,0,0,0,1
5,3,,,1900,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,0,0,1,0,5,36,4,1,2,1,1,3,2,1,3,0,1,,,,1
5,3,,,1911,1,0,1,1,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,4,1,1,0,5,35,3,1,1,0,1,0,3,2,1,0,4,0,0,0,1
5,3,,,1913,1,0,1,1,0,0,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,1,0,1,0,5,28,3,1,2,1,1,2,2,1,2,1,1,0,0,0,1
5,3,,,1931,1,0,1,0,0,0,1,0,0,-2,-5,-3,21,-2,-5,-3,21,-4,-9,-2,1,-2,-4,1,0,1,0,5,25,2,1,2,1,0,3,2,1,2,-1,2,0,0,0,1
5,3,,,1934,1,0,0,0,0,1,0,0,0,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,0,0,1,1,5,35,4,0,3,1,0,4,2,1,3,0,0,,,,1
5,3,,,1938,1,1,1,0,1,0,1,0,1,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,2,1,1,1,5,62,2,1,2,1,1,2,3,2,3,2,1,,,,1
5,3,,,1941,1,0,1,1,0,0,0,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,53,2,1,1,0,1,3,3,2,2,-1,1,0,0,0,1
5,3,,,1943,1,1,1,0,0,0,1,0,1,-7,-4,3,-33,-7,-4,3,-33,0,-5,-2,1,-2,5,0,0,1,5,0,56,1,0,1,0,0,0,2,1,2,5,2,0,0,0,1
5,3,,,1952,1,1,0,0,0,0,0,0,1,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,2,1,1,0,5,33,1,1,1,0,2,0,3,2,2,4,2,,,,1
5,3,,,1958,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,1,0,1,0,5,33,2,1,2,1,0,2,3,2,3,-2,2,,,,1
5,3,,,1964,1,0,1,0,0,0,1,0,0,-2,-5,-3,21,-2,-5,-3,21,-4,-9,-2,1,-2,-4,0,0,1,0,5,33,3,1,2,1,0,4,1,0,2,1,1,0,0,0,1
5,3,,,1972,1,0,1,0,0,0,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,1,0,1,0,5,45,4,1,1,0,1,1,4,2,3,-2,1,,,,1
5,3,,,1973,1,0,1,0,0,0,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,2,1,1,0,5,18,2,1,2,1,2,2,1,0,3,-1,4,0,0,0,1
5,3,,,1983,1,1,1,0,0,0,0,0,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,59,2,1,1,0,0,2,3,2,2,-1,1,1,1,0,1
5,3,,,1986,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,0,0,1,0,5,32,4,0,2,1,1,4,3,2,3,1,1,,,,1
5,3,,,1994,1,0,1,1,0,0,0,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,66,1,1,2,1,1,2,1,0,3,0,1,,,,1
5,3,,,1995,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,35,3,1,3,1,2,3,3,2,4,-1,0,,,,1
5,3,,,1997,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,46,2,0,1,0,3,3,1,0,2,-3,0,,,,1
5,3,,,2005,1,1,1,0,0,0,1,1,1,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,0,0,1,1,5,56,1,0,2,1,2,4,2,1,3,0,1,0,0,0,1
5,3,,,2008,1,0,0,0,0,0,0,0,0,-5,-2,3,-21,-5,-2,3,-21,0,-3,-2,1,-2,3,1,0,1,3,0,54,2,0,2,1,1,2,3,2,3,2,1,0,0,0,1
5,3,,,2012,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,31,4,0,3,1,2,4,0,0,4,0,1,1,0,1,1
5,3,,,2020,1,0,1,0,0,0,1,0,0,-2,-5,-3,21,-2,-5,-3,21,-4,-9,-2,1,-2,-4,2,1,1,0,5,69,1,1,3,1,0,1,3,2,2,-4,2,0,0,0,1
5,3,,,2026,1,1,1,0,1,0,1,0,1,-3,0,3,-9,-3,0,3,-9,0,-4,-2,1,-2,1,1,0,1,1,5,59,1,1,1,0,1,3,2,1,2,-2,1,,,,1
5,3,,,2028,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,54,2,1,1,0,1,3,3,2,1,-1,1,0,0,0,1
5,3,,,2030,1,0,1,1,0,1,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,2,1,1,0,5,58,2,1,2,1,0,2,3,2,2,-2,2,,,,1
5,3,,,2038,1,0,1,0,0,1,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,24,3,1,3,1,0,3,1,0,3,0,1,0,0,0,1
5,3,,,2050,1,0,1,0,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,63,2,1,2,1,1,3,3,2,3,0,1,,,,1
5,3,,,2055,1,1,1,0,1,0,0,0,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,1,0,1,0,5,56,2,0,2,1,2,3,1,0,2,1,1,,,,1
5,3,,,2063,1,0,1,0,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,28,4,1,2,1,2,2,3,2,2,-1,2,,,,1
5,3,,,2071,1,1,1,0,0,0,1,0,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,-2,1,-2,2,0,0,1,2,5,36,3,1,1,0,0,4,1,0,2,-2,1,0,0,0,1
5,3,,,2072,1,1,1,0,0,0,1,1,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,45,2,1,0,0,2,0,3,2,0,0,1,,,,1
5,3,,,2079,1,0,1,1,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,54,3,0,3,1,1,3,3,2,2,3,0,,,,1
5,3,,,2086,1,1,1,0,1,0,1,0,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,-2,1,-2,2,0,0,1,2,5,53,2,0,1,0,2,4,1,0,1,-2,1,,,,1
5,3,,,2091,1,0,1,0,0,0,1,0,0,0,-3,-3,9,0,-3,-3,9,-2,-7,-2,1,-2,-2,0,0,1,0,5,19,3,1,3,1,0,3,1,0,3,-1,1,,,,1
5,3,,,2094,1,0,1,1,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,3,1,1,0,5,68,1,1,2,1,2,2,3,2,2,-1,2,0,0,0,1
5,3,,,2097,1,0,1,0,0,0,1,0,0,-2,-5,-3,21,-2,-5,-3,21,-4,-9,-2,1,-2,-4,1,0,1,0,5,21,3,1,2,1,1,3,3,2,1,2,2,0,0,0,1
5,3,,,2101,1,1,1,0,1,0,0,0,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,-2,1,-2,0,0,0,1,0,5,41,0,0,3,1,2,3,0,0,4,0,0,0,0,0,1
5,3,,,2105,1,0,1,0,0,0,0,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,1,0,1,0,5,61,2,0,1,0,2,1,1,0,2,-2,1,1,0,1,1
5,3,,,2113,1,0,1,0,0,0,1,0,0,-1,-2,-1,3,-1,-2,-1,3,-1,-6,-2,1,-2,-1,3,1,1,0,5,50,2,1,1,0,1,0,3,2,2,-1,3,0,0,0,1
5,3,,,2119,1,1,1,0,0,0,0,0,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,-2,1,-2,2,2,1,1,2,5,46,1,0,3,1,2,3,2,1,3,0,2,0,0,0,1
5,3,,,2124,1,1,1,0,0,0,1,0,1,-4,-1,3,-15,-4,-1,3,-15,0,-3,-2,1,-2,2,1,0,1,2,5,56,1,0,2,1,1,2,3,2,1,-2,1,,,,1
5,3,,,2127,1,0,1,0,0,0,1,0,0,-1,-4,-3,15,-1,-4,-3,15,-3,-8,-2,1,-2,-3,0,0,1,0,5,31,4,1,2,1,1,3,1,0,3,1,0,,,,1
