exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
2:risk,,new,both right,1576,Party B,Party A,yes,no,no,no,yes,no,no,-7,-8,-1,15,-7,-8,-1,15,,,2,3,2,-5,ziemlich sicher,sicher,3,,,44,Realschule,f,groß,groß,0,mittelmäßig,keine Vorlieben,neutral,teils/ teils,-1,weder/noch,,,
2:risk,,new,both right,1580,Party B,Party A,yes,no,no,no,yes,no,no,-3,-4,-1,7,-3,-4,-1,7,,,0,1,0,-3,ziemlich sicher,sicher,1,,,25,Abitur,f,groß,groß,1,mittelmäßig,keine Vorlieben,neutral,teils/ teils,-5,weder/noch,,,
2:risk,,new,both right,1581,Party B,Party A,yes,no,no,no,yes,no,no,-7,-7,0,0,-7,-7,0,0,,,4,4,4,-3,ziemlich sicher,sicher,4,,,41,Hochschulstudium,m,groß,groß,0,sehr stark,manchmal Risiken,affin,ziemlich zufrieden,-2,ziemlich sicher,,,
2:risk,,new,both right,1584,Party A,Party B,no,no,no,no,no,no,no,-4,-5,-1,9,-5,-4,1,-9,,,3,4,4,-1,ziemlich sicher,sicher,3,,,62,Hauptschule,m,groß,groß,1,mittelmäßig,manchmal Risiken,affin,ziemlich zufrieden,0,ziemlich sicher,,,
2:risk,,new,left/right,1586,Party A,Party A,yes,yes,no,no,no,no,yes,0,-4,-4,16,-4,0,4,-16,,,0,4,4,0,sehr sicher,sicher,0,,,30,Realschule,m,gering,gering,1,überhaupt nicht,keine Vorlieben,neutral,teils/ teils,1,weder/noch,,,
2:risk,,new,left/right,1587,Party A,Party A,yes,no,no,no,yes,no,yes,-3,-3,0,0,-3,-3,0,0,,,-4,2,2,-1,ziemlich sicher,sicher,-4,,,63,Hauptschule,m,sehr groß,groß,1,ziemlich stark,manchmal Risiken,affin,ziemlich zufrieden,-1,ziemlich sicher,,,
2:risk,,new,both left,1588,Party A,Party B,yes,no,no,no,yes,no,no,-6,-3,3,-27,-3,-6,-3,27,,,-4,-1,-1,2,ziemlich sicher,sicher,-4,,,61,Realschule,f,groß,groß,1,ziemlich stark,manchmal Risiken,affin,ziemlich zufrieden,2,ziemlich sicher,,,
2:risk,,new,both right,1589,Party A,Party B,no,no,yes,no,no,no,no,-3,-4,-1,7,-4,-3,1,-7,,,2,3,3,-1,ziemlich sicher,sicher,2,,,38,Realschule,f,groß,groß,2,ziemlich stark,Sicherheit,avers,teils/ teils,-1,weder/noch,,,
2:risk,,new,both left,1592,Party B,Party B,yes,no,no,no,yes,no,yes,-3,-1,2,-8,-3,-1,2,-8,,,-1,1,-1,2,sehr sicher,sicher,1,,,36,Realschule,m,sehr groß,groß,1,mittelmäßig,Sicherheit,avers,teils/ teils,-5,sehr sicher,,,
2:risk,,new,both right,1593,Party A,Party B,yes,no,no,no,yes,no,no,-2,-2,0,0,-2,-2,0,0,,,1,1,1,-1,sehr sicher,sicher,1,,,19,Abitur,m,sehr groß,groß,2,ziemlich stark,manchmal Risiken,affin,sehr zufrieden,0,weder/noch,,,
2:risk,,new,left/right,1597,Party A,Party B,yes,no,no,yes,yes,no,no,-2,0,2,-4,0,-2,-2,4,,,-3,-1,-1,-1,sehr sicher,sicher,-3,,,37,Abitur,m,groß,groß,0,ziemlich stark,keine Vorlieben,neutral,teils/ teils,1,ziemlich sicher,,,
2:risk,,new,left/right,1599,Party B,Party A,yes,no,no,no,no,no,no,-2,-2,0,0,-2,-2,0,0,,,-2,2,-2,0,ziemlich sicher,sicher,2,,,60,Realschule,f,groß,groß,2,mittelmäßig,Sicherheit,avers,ziemlich zufrieden,0,weder/noch,,,
2:risk,,new,both right,1602,Party A,Party A,yes,no,no,no,yes,no,yes,-4,-4,0,0,-4,-4,0,0,,,3,3,3,-1,weder/noch,unsicher,3,,,55,Hauptschule,m,groß,groß,2,mittelmäßig,Sicherheit,avers,ziemlich zufrieden,0,weder/noch,,,
2:risk,,new,both right,1604,Party B,Party A,yes,no,no,no,yes,no,no,-3,-5,-2,16,-3,-5,-2,16,,,0,2,0,-3,ziemlich sicher,sicher,2,,,35,Hochschulstudium,m,groß,groß,1,sehr stark,unbedingte Sicherheit,avers,teils/ teils,0,ziemlich sicher,,,
2:risk,,new,both left,1607,Party A,Party B,yes,no,no,no,yes,no,no,-5,-3,2,-16,-3,-5,-2,16,,,-3,-1,-1,2,sehr sicher,sicher,-3,,,54,Abitur,m,sehr groß,groß,2,sehr stark,manchmal Risiken,affin,teils/ teils,-1,sehr sicher,,,
2:risk,,new,left/right,1612,Party A,Party B,yes,no,no,no,yes,no,no,-4,-1,3,-15,-1,-4,-3,15,,,-4,1,1,0,ziemlich sicher,sicher,-4,,,65,Hauptschule,m,groß,groß,1,mittelmäßig,Sicherheit,avers,teils/ teils,-1,ziemlich sicher,,,
2:risk,,new,both left,1615,Party B,Party B,yes,no,no,no,yes,no,yes,-3,-1,2,-8,-3,-1,2,-8,,,-2,0,-2,1,ziemlich sicher,sicher,0,,,58,Hauptschule,m,groß,groß,0,ziemlich stark,manchmal Risiken,affin,sehr zufrieden,1,ziemlich sicher,,,
